PollutantCode,Formula,Description,Unit,UnitPrecision,NAPSCategory1,NAPSCategory2,NAPSCategory3
001,Coh,SOILING INDEX,Coh,0.1,HOURLY,HOURLY,HOURLY
002,TSP,TOTAL SUSPENDED PARTICULATE (HI-VOL),µg/m3,1,DAILY,DAILY,DAILY
003,DF,DUSTFALL,g/m2/30days,0.1,MONTHLY,MONTHLY,MONTHLY
004,SO2,SULPHUR DIOXIDE,ppb,1,HOURLY,HOURLY,HOURLY
005,CO,CARBON MONOXIDE,ppm,0.1,HOURLY,HOURLY,HOURLY
006,NO2,NITROGEN DIOXIDE,ppb,1,HOURLY,HOURLY,HOURLY
007,O3,OZONE,ppb,1,HOURLY,HOURLY,HOURLY
008,NO,NITRIC OXIDE,ppb,1,HOURLY,HOURLY,HOURLY
009,PB,LEAD (HI-VOL),µg/m3,0.01,DAILY,DAILY,DAILY
010,SO4,SULPHATE (HI-VOL),µg/m3,0.1,DAILY,DAILY,DAILY
011,SO3,SULPHATION,mg/100cm2/day,0.1,MONTHLY,MONTHLY,MONTHLY
012,NO3,NITRATE (HI-VOL),µg/m3,0.1,DAILY,DAILY,DAILY
013,NOx,NITROGEN OXIDES,ppb,1,HOURLY,HOURLY,HOURLY
014,,PM-10 SP (TEOM),µg/m3,1,HOURLY,HOURLY,HOURLY
015,,PM-2.5 SP (TEOM),µg/m3,1,HOURLY,HOURLY,HOURLY
016,NOy,TOTAL NITROGEN OXIDES,ppb,1,HOURLY,HOURLY,HOURLY
017,,PM-2.5 SP (TEOM WITH DRYER),µg/m3,1,HOURLY,HOURLY,HOURLY
018,,PM-2.5 SP (BAM),µg/m3,1,HOURLY,HOURLY,HOURLY
021,,TEOM GRAVIMETRIC 30 DEG C PM2.5 SCC W/NO CORRECTION FACTOR,µg/m3,,HOURLY,HOURLY,HOURLY
022,,TEOM + FDMS,µg/m3,,HOURLY,HOURLY,HOURLY
025,,PM-1 GRIMM 180,µg/m3,,HOURLY,HOURLY,HOURLY
026,,PM2.5 CONTINUOUS GRIMM180,µg/m3,,HOURLY,HOURLY,HOURLY
027,,PM10 CONTINUOUS GRIMM 180,µg/m3,,HOURLY,HOURLY,HOURLY
030,,PM-2.5 CONTINUOUS BAM 35%RH,µg/m3,,HOURLY,HOURLY,HOURLY
031,,PM-10 CONTINUOUS BAM 35%RH,µg/m3,,HOURLY,HOURLY,HOURLY
032,,PM25 Sharp5040,µg/m3,,HOURLY,HOURLY,HOURLY
100,,ALL DICHOTOMOUS POLLUTANTS,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
102,,SP (DICHOTOMOUS),µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
111,Na,SODIUM,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
112,Mg,MAGNESIUM,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
113,Al,ALUMINUM,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
114,Si,SILICON,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
115,P,PHOSPHORUS,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
116,S,SULPHUR,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
117,Cl,CHLORINE,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
119,K,POTASSIUM,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
120,Ca,CALCIUM,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
121,Sc,SCANDIUM,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
122,Ti,TITANIUM,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
123,V,VANADIUM,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
124,Cr,CHROMIUM,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
125,Mn,MANGANESE,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
126,Fe,IRON,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
127,Co,COBALT,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
128,Ni,NICKEL,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
129,Cu,COPPER,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
130,Zn,ZINC,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
131,Ga,GALLIUM,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
132,Ge,GERMANIUM,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
133,As,ARSENIC,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
134,Se,SELENIUM,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
135,Br,BROMINE,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
137,Rb,RUBIDIUM,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
138,Sr,STRONTIUM,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
139,Y,YTTRIUM,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
140,Zr,ZIRCONIUM,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
141,Nb,NIOBIUM,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
142,Mo,MOLYBDENUM,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
146,Pd,PALLADIUM,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
147,Ag,SILVER,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
148,Cd,CADMIUM,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
149,In,INDIUM,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
150,Sn,TIN,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
151,Sb,ANTIMONY,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
152,Te,TELLURIUM,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
153,I,IODINE,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
155,Cs,CESIUM,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
156,Ba,BARIUM,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
157,La,LANTHANUM,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
158,Ce,CERIUM,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
159,Pr,PRASEODYMIUM,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
160,Nd,NEODYMIUM,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
173,Ta,TANTULUM,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
174,W,TUNGSTEN,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
180,Hg,MERCURY,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
181,Tl,THALLIUM,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
182,Pb,LEAD,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
183,Bi,BISMUTH,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
201,CH3COOH-,ACETATE,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
202,HCOOH-,FORMATE,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
203,C2O4--,OXALATE,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
204,PO4---,PHOSPHATE,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
205,NO2-,NITRITE,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
209,F-,FLUORIDE,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
210,SO4--,SULPHATE,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
211,Na+,SODIUM,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
212,NO3-,NITRATE,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
213,NH4+,AMMONIUM,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
217,Cl-,CHLORIDE,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
235,Br-,BROMIDE,µg/m3,,DICHOTOMOUS,DICHOTOMOUS,DICHOTOMOUS
301,,SP (SSI) PM 2.5,µg/m3,,SSI,SSI,SSI
302,,SP (SSI) PM 10,µg/m3,,SSI,SSI,SSI
310,SO4,SULPHATE (SSI),µg/m3,,SSI,SSI,SSI
312,NO3,NITRATE (SSI),µg/m3,,SSI,SSI,SSI
382,Pb,LEAD (SSI),µg/m3,,SSI,SSI,SSI
002/004,,COMBINATION TSP * SO2,1000*(µg/m3)2,,DAILY,DAILY,DAILY
100-00-0,,ALL ORGANIC POLLUTANTS,µg/m3,,ORGANIC,VOC,>C2 ALKENE/ALKYNE
100-41-4,,ETHYLBENZENE,µg/m3,,ORGANIC,VOC,MONO-AROMATIC
100-42-5,,STYRENE,µg/m3,,ORGANIC,VOC,MONO-AROMATIC
100-52-7,,BENZALDEHYDE,µg/m3,,ORGANIC,VOC,OTHER ALDEHYDES
10061-01-5,,CIS-1;3-DICHLOROPROPENE,µg/m3,,ORGANIC,VOC,CHLORINATED
10061-02-6,,TRANS-1;3-DICHLOROPROPENE,µg/m3,,ORGANIC,VOC,CHLORINATED
103-65-1,,N-PROPYLBENZENE,µg/m3,,ORGANIC,VOC,MONO-AROMATIC
104-51-8,,N-BUTYLBENZENE,µg/m3,,ORGANIC,VOC,DI+TRI AROMATICS
104-87-0,,P-TOLUALDEHYDE,µg/m3,,ORGANIC,VOC,OTHER ALDEHYDES
105-05-5,,1;4-DIETHYLBENZENE,µg/m3,,ORGANIC,VOC,DI+TRI AROMATICS
106-46-7,,1;4-DICHLOROBENZENE,µg/m3,,ORGANIC,VOC,CHLORINATED
106-93-4,,1;2 DIBROMOETHANE,µg/m3,,ORGANIC,VOC,CHLORINATED
106-97-8,,BUTANE,µg/m3,,ORGANIC,VOC,>C3 ALKANE
106-98-9,,1-BUTENE,µg/m3,,ORGANIC,VOC,>C2 ALKENE/ALKYNE
106-99-0,,1;3-BUTADIENE,µg/m3,,ORGANIC,VOC,>C2 ALKENE/ALKYNE
107-00-6,,1-BUTYNE,µg/m3,,ORGANIC,VOC,>C2 ALKENE/ALKYNE
107-02-8,,ACROLEIN,µg/m3,,ORGANIC,VOC,OTHER ALDEHYDES
107-06-2,,1;2-DICHLOROETHANE,µg/m3,,ORGANIC,VOC,CHLORINATED
1077-16-3,,HEXYLBENZENE,µg/m3,,ORGANIC,VOC,MONO-AROMATIC
107-83-5,,2-METHYLPENTANE,µg/m3,,ORGANIC,VOC,>C3 ALKANE
108-08-7,,2;4-DIMETHYLPENTANE,µg/m3,,ORGANIC,VOC,>C3 ALKANE
108-38-3,,M AND P-XYLENE,µg/m3,,ORGANIC,VOC,DI+TRI AROMATICS
108-67-8,,1;3;5-TRIMETHYLBENZENE,µg/m3,,ORGANIC,VOC,DI+TRI AROMATICS
108-87-2,,METHYLCYCLOHEXANE,µg/m3,,ORGANIC,VOC,>C3 ALKANE
108-88-3,,TOLUENE,µg/m3,,ORGANIC,VOC,MONO-AROMATIC
108-90-7,,CHLOROBENZENE,µg/m3,,ORGANIC,VOC,CHLORINATED
109-66-0,,PENTANE,µg/m3,,ORGANIC,VOC,>C3 ALKANE
109-67-1,,1-PENTENE,µg/m3,,ORGANIC,VOC,>C2 ALKENE/ALKYNE
110-54-3,,HEXANE,µg/m3,,ORGANIC,VOC,>C3 ALKANE
110-56-5,,1;4-DICHLOROBUTANE,µg/m3,,ORGANIC,VOC,CHLORINATED
110-62-3,,2-PENTANAL,µg/m3,,ORGANIC,VOC,KETONES
110-82-7,,CYCLOHEXANE,µg/m3,,ORGANIC,VOC,>C3 ALKANE
110-83-8,,CYCLOHEXENE,µg/m3,,ORGANIC,VOC,>C2 ALKENE/ALKYNE
111-65-9,,OCTANE,µg/m3,,ORGANIC,VOC,>C3 ALKANE
111-66-0,,1-OCTENE,µg/m3,,ORGANIC,VOC,>C2 ALKENE/ALKYNE
111-84-2,,NONANE,µg/m3,,ORGANIC,VOC,>C3 ALKANE
1120-21-4,,UNDECANE,µg/m3,,ORGANIC,VOC,>C3 ALKANE
112-40-3,,DODECANE,µg/m3,,ORGANIC,VOC,>C3 ALKANE
115-07-1,,PROPYLENE,µg/m3,,ORGANIC,VOC,>C2 ALKENE/ALKYNE
115-11-7,,1-BUTENE/ISOBUTENE,µg/m3,,ORGANIC,VOC,>C2 ALKENE/ALKYNE
120-82-1,,1;2;4-TRICHLOROBENZENE,µg/m3,,ORGANIC,VOC,CHLORINATED
123-38-6,,PROPIONALDEHYDE,µg/m3,,ORGANIC,VOC,OTHER ALDEHYDES
124-11-8,,1-NONENE,µg/m3,,ORGANIC,VOC,>C2 ALKENE/ALKYNE
124-18-5,,DECANE,µg/m3,,ORGANIC,VOC,>C3 ALKANE
124-48-1,,DIBROMOCHLOROMETHANE,µg/m3,,ORGANIC,VOC,CHLORINATED
127-18-4,,TETRACHLOROETHYLENE,µg/m3,,ORGANIC,VOC,CHLORINATED
127-91-3,,BETA-PINENE,µg/m3,,ORGANIC,VOC,>C2 ALKENE/ALKYNE
13389-42-9,,TRANS-2-OCTENE,µg/m3,,ORGANIC,VOC,>C2 ALKENE/ALKYNE
135-01-3,,1;2-DIETHYLBENZENE,µg/m3,,ORGANIC,VOC,DI+TRI AROMATICS
135-98-8,,SEC-BUTYLBENZENE,µg/m3,,ORGANIC,VOC,MONO-AROMATIC
141-93-5,,1;3-DIETHYLBENZENE,µg/m3,,ORGANIC,VOC,DI+TRI AROMATICS
142-29-0,,CYCLOPENTENE,µg/m3,,ORGANIC,VOC,>C2 ALKENE/ALKYNE
142-82-5,,HEPTANE,µg/m3,,ORGANIC,VOC,>C3 ALKANE
14686-13-6,,TRANS-2-HEPTENE,µg/m3,,ORGANIC,VOC,>C2 ALKENE/ALKYNE
14686-14-7,,TRANS-3-HEPTENE,µg/m3,,ORGANIC,VOC,>C2 ALKENE/ALKYNE
156-59-2,,CIS-1;2-DICHLOROETHYLENE,µg/m3,,ORGANIC,VOC,CHLORINATED
156-60-5,,TRANS-1;2-DICHLOROETHYLENE,µg/m3,,ORGANIC,VOC,CHLORINATED
15869-94-0,,3;6-DIMETHYLOCTANE,µg/m3,,ORGANIC,VOC,>C3 ALKANE
2207-01-4,,CIS-1;2-DIMETHYLCYCLOHEXANE,µg/m3,,ORGANIC,VOC,>C3 ALKANE
2207-03-6,,TRANS-1;3-DIMETHYLCYCLOHEXANE,µg/m3,,ORGANIC,VOC,>C3 ALKANE
2207-04-7,,TRANS-1;4-DIMETHYLCYCLOHEXANE,µg/m3,,ORGANIC,VOC,>C3 ALKANE
2216-30-0,,2;5-DIMETHYLHEPTANE,µg/m3,,ORGANIC,VOC,>C3 ALKANE
