Province	CityName	YearAvgOzone	YearMaxOzone
1	ALBERTA	Hightower Ridge	46.6	65
2	QUEBEC	Sutton	35.69	62
3	NOVA SCOTIA	Aylesford	33.47	55
4	ONTARIO	Grand Bend	33.23	74
5	ONTARIO	Port Stanley	33.07	68
6	ONTARIO	Simcoe	32.84	74
7	NOVA SCOTIA	Sable Island	32.8	56
8	QUEBEC	Frelighsburg	32.77	63
9	ONTARIO	Kingston	32.71	67
10	QUEBEC	St-Hilaire-De-Dorset	32.62	63
11	ALBERTA	Caroline	32.55	56
12	ONTARIO	Tiverton	32.04	66
13	QUEBEC	Tingwick	32.01	58
14	QUEBEC	Stukely-Sud	31.86	59
15	BRITISH COLUMBIA	Ucluelet	31.82	52
16	NEWFOUNDLAND AND LABRADOR	Port Aux Choix	31.62	56
17	MANITOBA	Thomson	31.47	46
18	ONTARIO	Algoma	31.43	82
19	ALBERTA	Violet Grove	31.2	55
20	ALBERTA	Lethbridge	31.11	55
21	ONTARIO	Egbert	30.96	64
22	ONTARIO	Exp. Lakes Area	30.4	54
23	QUEBEC	La Patrie	30.38	51
24	NEWFOUNDLAND AND LABRADOR	Mount Pearl	30.37	51
25	QUEBEC	Saint-Faustin-Lac-Carre	30.15	58
26	NEWFOUNDLAND AND LABRADOR	Grand Falls - Windsor	30.15	51
27	ALBERTA	Esther	30.13	51
28	NEW BRUNSWICK	Point Lepreau	30.11	47
29	ONTARIO	Parry Sound	30.09	66
30	ALBERTA	Beaverlodge	29.9	53
31	NUNAVUT	Alert	29.82	48
32	ONTARIO	Sarnia	29.71	60
33	ALBERTA	Tomahawk	29.62	54
34	ONTARIO	Pickle Lake	29.51	50
35	ONTARIO	Chatham	29.5	65
36	NEWFOUNDLAND AND LABRADOR	Corner Brook	29.43	57
37	ONTARIO	Newmarket	29.4	64
38	ALBERTA	Breton	29.37	50
39	NOVA SCOTIA	Kejimkujik	29.36	52
40	QUEBEC	Rouyn-Noranda	29.29	70
41	ALBERTA	Medicine Hat	29.16	48
42	QUEBEC	Notre-Dame-Du-Rosaire	29.08	57
43	ONTARIO	Peterborough	29.07	64
44	NORTHWEST TERRITORIES	Snare Rapids	29.03	50
45	ONTARIO	Guelph	28.84	57
46	QUEBEC	Chapais	28.8	57
47	ONTARIO	Brantford	28.77	57
48	ONTARIO	Sault Ste. Marie	28.75	69
49	ONTARIO	St. Catharines	28.67	63
50	BRITISH COLUMBIA	Osoyoos	28.65	46
51	BRITISH COLUMBIA	Saturna	28.64	48
52	ONTARIO	Sudbury	28.53	63
53	NEWFOUNDLAND AND LABRADOR	St. John's	28.5	45
54	QUEBEC	Auclair	28.46	56
55	QUEBEC	La Peche	28.37	61
56	ALBERTA	Fort Chipewyan	28.22	48
57	ONTARIO	Morrisburg	28.16	62
58	NEWFOUNDLAND AND LABRADOR	Happy Valley - Goose Bay	28.12	46
59	ALBERTA	Lamont	28.11	49
60	QUEBEC	Saint-Anicet	28.05	60
61	ONTARIO	Belleville	27.99	59
62	ONTARIO	Kitchener	27.98	58
63	ONTARIO	Dorset	27.97	52
64	ONTARIO	Windsor	27.95	70
65	ONTARIO	Hamilton	27.94	70
66	QUEBEC	Senneterre	27.75	67
67	ONTARIO	Chalk River (Petawawa)	27.74	54
68	ONTARIO	London	27.71	62
69	ONTARIO	Oakville	27.69	59
70	ONTARIO	Moonbeam	27.57	61
71	QUEBEC	St. Zephirin-De-Courval	27.46	52
