Province,CityName,YearAvgOzone,YearMaxOzone,Latitude,Longitude
1,ALBERTA,Hightower Ridge,46.6,65,53.9332706,-116.5765035
2,QUEBEC,Sutton,35.69,62,45.105894,-72.6166646
3,NOVA SCOTIA,Aylesford,33.47,55,45.028156,-64.836432
4,ONTARIO,Grand Bend,33.23,74,43.3130397,-81.7562242
5,ONTARIO,Port Stanley,33.07,68,42.6641353,-81.2156329
6,ONTARIO,Simcoe,32.84,74,42.8372632,-80.3040424
7,NOVA SCOTIA,Sable Island,32.8,56,43.9337207,-59.9149138
8,QUEBEC,Frelighsburg,32.77,63,45.055473,-72.837506
9,ONTARIO,Kingston,32.71,67,44.2311717,-76.4859544
10,QUEBEC,St-Hilaire-De-Dorset,32.62,63,45.865231,-70.857041
11,ALBERTA,Caroline,32.55,56,52.0939324,-114.7404417
12,ONTARIO,Tiverton,32.04,66,44.2676578,-81.5433231
13,QUEBEC,Tingwick,32.01,58,45.88116,-71.943945
14,QUEBEC,Stukely-Sud,31.86,59,45.3169427,-72.4151279
15,BRITISH COLUMBIA,Ucluelet,31.82,52,48.9415997,-125.5463445
16,NEWFOUNDLAND AND LABRADOR,Port Aux Choix,31.62,56,53.1355091,-57.6604364
17,MANITOBA,Thomson,31.47,46,55.7449251,-97.8508715
18,ONTARIO,Algoma,31.43,82,47.6459165,-84.7951524
19,ALBERTA,Violet Grove,31.2,55,53.163436,-115.037785
20,ALBERTA,Lethbridge,31.11,55,49.69349,-112.84184
21,ONTARIO,Egbert,30.96,64,44.233676,-79.760915
22,ONTARIO,Exp. Lakes Area,30.4,54,51.253775,-85.3232139
23,QUEBEC,La Patrie,30.38,51,45.4018576,-71.2496433
24,NEWFOUNDLAND AND LABRADOR,Mount Pearl,30.37,51,47.5206407,-52.8076818
25,QUEBEC,Saint-Faustin-Lac-Carre,30.15,58,46.110407,-74.482001
26,NEWFOUNDLAND AND LABRADOR,Grand Falls - Windsor,30.15,51,48.9276687,-55.6575025
27,ALBERTA,Esther,30.13,51,51.683543,-110.260673
28,NEW BRUNSWICK,Point Lepreau,30.11,47,45.0679663,-66.4535262
29,ONTARIO,Parry Sound,30.09,66,45.3473925,-80.034783
30,ALBERTA,Beaverlodge,29.9,53,55.213974,-119.423302
31,NUNAVUT,Alert,29.82,48,82.5084554,-62.4105252
32,ONTARIO,Sarnia,29.71,60,42.974536,-82.4065901
33,ALBERTA,Tomahawk,29.62,54,53.395845,-114.763275
34,ONTARIO,Pickle Lake,29.51,50,51.467825,-90.193782
35,ONTARIO,Chatham,29.5,65,42.4048018,-82.1910376
36,NEWFOUNDLAND AND LABRADOR,Corner Brook,29.43,57,48.9489967,-57.9502726
37,ONTARIO,Newmarket,29.4,64,44.059187,-79.461256
38,ALBERTA,Breton,29.37,50,53.10999,-114.4713948
39,NOVA SCOTIA,Kejimkujik,29.36,52,44.363997,-65.694973
40,QUEBEC,Rouyn-Noranda,29.29,70,48.2342362,-79.0187836
41,ALBERTA,Medicine Hat,29.16,48,50.0405486,-110.6764258
42,QUEBEC,Notre-Dame-Du-Rosaire,29.08,57,46.825481,-70.392222
43,ONTARIO,Peterborough,29.07,64,44.309058,-78.319747
44,NORTHWEST TERRITORIES,Snare Rapids,29.03,50,64.8255441,-124.8457334
45,ONTARIO,Guelph,28.84,57,43.5448048,-80.2481666
46,QUEBEC,Chapais,28.8,57,49.78221,-74.85248
47,ONTARIO,Brantford,28.77,57,43.1393867,-80.2644254
48,ONTARIO,Sault Ste. Marie,28.75,69,46.521858,-84.3460896
49,ONTARIO,St. Catharines,28.67,63,43.1593745,-79.2468626
50,BRITISH COLUMBIA,Osoyoos,28.65,46,49.032304,-119.468163
51,BRITISH COLUMBIA,Saturna,28.64,48,48.797607,-123.200556
52,ONTARIO,Sudbury,28.53,63,46.5513927,-81.0354982
53,NEWFOUNDLAND AND LABRADOR,St. John's,28.5,45,47.5605413,-52.7128315
54,QUEBEC,Auclair,28.46,56,47.7284689,-68.644387
55,QUEBEC,La Peche,28.37,61,45.68621,-75.992255
56,ALBERTA,Fort Chipewyan,28.22,48,58.719637,-111.140697
57,ONTARIO,Morrisburg,28.16,62,44.8977889,-75.1833966
